,storm_id,storm_name,date,time,record_id,status,lat,lon,max_wind_kt,min_slp_mb,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13
0,AL011851,UNNAMED,1851-06-25,0000,,HU,28.0N,94.8W,80.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
173,AL021851,UNNAMED,1851-07-05,1200,,HU,22.2N,97.6W,80.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
344,AL031851,UNNAMED,1851-07-10,1200,,TS,12.0N,60.0W,50.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
517,AL041851,UNNAMED,1851-08-16,0000,,TS,13.4N,48.0W,40.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
685,AL051851,UNNAMED,1851-09-13,0000,,TS,32.5N,73.5W,50.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
849,AL061851,UNNAMED,1851-10-16,0000,,TS,28.7N,78.0W,40.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1,AL011852,UNNAMED,1852-08-19,0000,,TS,20.5N,67.1W,60.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
174,AL021852,UNNAMED,1852-09-05,0000,,HU,17.0N,64.1W,70.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
345,AL031852,UNNAMED,1852-09-09,0000,,HU,26.4N,90.4W,70.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
518,AL041852,UNNAMED,1852-09-22,0000,,TS,16.1N,58.5W,50.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
686,AL051852,UNNAMED,1852-10-06,0000,,HU,17.0N,73.8W,90.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2,AL011853,UNNAMED,1853-08-05,1200,,TS,32.5N,69.0W,50.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
175,AL021853,UNNAMED,1853-08-10,1200,,TS,12.0N,60.0W,40.0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
