code,ACE
AL011851,5.55
AL011852,26.36
AL011853,0.25
AL011854,3.9
AL011855,0.81
AL011856,11.75
AL011857,2.0
AL011858,0.49
AL011859,0.81
AL011860,16.75
AL011861,12.76
AL011862,3.0
AL011863,4.86
AL011864,5.36
AL011865,0.25
AL011866,14.29
AL011867,3.53
AL011868,11.0
AL011869,3.24
AL011870,0.49
AL011871,4.03
AL011872,3.78
AL011873,1.12
AL011874,3.05
AL011875,7.84
AL011876,6.26
AL011877,5.11
AL011878,1.92
AL011879,5.52
AL011880,2.72
AL011881,2.44
AL011882,2.45
AL011883,17.82
AL011884,8.28
AL011885,14.22
AL011886,3.9025
AL011887,4.6075
AL011888,2.5625
AL011889,6.5525
AL011890,1.235
AL011891,7.98
AL011892,5.5475
AL011893,12.105
AL011894,1.96
AL011895,2.8275
AL011896,8.44
AL011897,24.6775
AL011898,2.0225
AL011899,0.6125
AL011900,29.0625
AL011901,1.1025
AL011902,3.4025
AL011903,6.5
AL011904,2.895
AL011905,1.2825
AL011906,3.89
AL011907,4.755
AL011908,5.84
AL011909,2.4475
AL011910,2.11
AL011911,2.0875
AL011912,9.55
AL011913,6.36
AL011914,2.89
AL011915,4.475
AL011916,2.4825
AL011917,1.535
AL011918,9.5475
AL011919,2.27
AL011920,17.5425
AL011921,8.71
AL011922,0.81
AL011923,2.11
AL011924,1.61
AL011925,3.65
AL011926,22.6675
AL011927,29.1825
AL011928,11.9775
AL011929,4.8425
AL011930,27.255
AL011931,2.41
AL011932,4.34
AL011933,3.08
AL011934,22.32
AL011935,1.7525
AL011936,3.4825
AL011937,4.0925
AL011938,6.21
AL011939,4.5675
AL011940,4.6875
AL011941,2.275
AL011942,0.98
AL011943,5.75
AL011944,8.3325
AL011945,14.3775
AL011946,0.8575
AL011947,1.135
AL011948,2.5
AL011949,17.725
AL011950,27.005
AL011951,9.73
AL011952,2.96
AL011953,7.695
AL011954,1.9775
AL011955,2.255
AL011956,1.3575
AL011957,6.2775
AL011958,1.52
AL011959,2.41
AL011960,1.31
AL011961,12.3675
AL011962,6.375
AL011963,12.9725
AL011964,4.36
AL011965,4.49
AL011966,15.995
AL011967,0.0
AL011968,5.825
AL011970,3.3975
AL011971,2.14
AL011972,2.12
AL011973,0.0
AL011974,0.0
AL011975,0.0
AL011976,2.015
AL011977,0.0
AL011978,1.695
AL011979,0.0
AL011980,0.0
AL011981,0.0
AL011982,2.06
AL011983,0.0
AL011984,0.0
AL011985,2.6375
AL011986,2.185
AL011987,0.0
AL011988,0.49
AL011989,0.0
AL011990,0.0
AL011991,1.2525
AL011992,1.0925
AL011993,0.3675
AL011994,1.8675
AL011995,7.235
AL011996,2.1475
AL011997,0.81
AL011998,2.835
AL011999,3.42
AL012000,0.0
AL012001,1.5025
AL012002,3.2325
AL012003,5.22
AL012004,11.355
AL012005,3.3675
AL012006,5.6375
AL012007,3.9975
AL012008,0.9325
AL012009,0.0
AL012010,9.17
AL012011,2.18
AL012012,1.87
AL012013,2.6675
AL012014,10.8025
AL012015,2.7225
AL012016,13.0525
AL012017,3.7425
AL012018,1.9475
AL012019,0.3675
AL012020,3.4175
AL012021,2.605
AL012022,3.0825
AL012023,3.165
AL012024,1.87
AL021851,0.64
AL021852,2.76
AL021853,0.16
AL021854,0.36
AL021855,4.86
AL021856,3.92
AL021857,22.93
AL021858,0.49
AL021859,9.72
AL021860,6.86
AL021861,7.95
AL021862,10.02
AL021863,5.5
AL021864,0.36
AL021865,0.25
AL021866,13.97
AL021867,16.46
AL021868,8.95
AL021869,6.19
AL021870,13.66
AL021871,2.21
AL021872,27.35
AL021873,35.3
AL021874,8.06
AL021875,17.54
AL021876,13.33
AL021877,11.51
AL021878,13.51
AL021879,13.58
AL021880,26.3
AL021881,1.76
AL021882,25.02
AL021883,27.01
AL021884,33.68
AL021885,15.44
AL021886,10.8025
AL021887,3.765
AL021888,1.7675
AL021889,5.4975
AL021890,7.8975
AL021891,19.0075
AL021892,11.2425
AL021893,5.5975
AL021894,2.88
AL021895,20.955
AL021896,37.6025
AL021897,7.37
AL021898,3.89
AL021899,8.2225
AL021900,24.9675
AL021901,10.4725
AL021902,5.1675
AL021903,28.95
AL021904,11.445
AL021905,3.27
AL021906,15.51
AL021907,2.6275
AL021908,6.95
AL021909,6.2925
AL021910,0.8475
AL021911,4.745
AL021912,2.43
AL021913,1.0075
AL021915,39.365
AL021916,11.785
AL021917,4.325
AL021918,7.86
AL021919,46.9425
AL021920,4.995
AL021921,2.17
AL021922,40.8125
AL021923,13.8575
AL021924,2.1125
AL021925,0.8575
AL021926,26.415
AL021927,11.3375
AL021928,10.585
AL021929,37.7975
AL021930,29.995
AL021931,2.795
AL021932,8.315
AL021933,29.145
AL021934,6.23
AL021935,27.2425
AL021936,2.025
AL021937,4.075
AL021938,1.72
AL021939,6.2275
AL021940,9.0525
AL021941,16.01
AL021942,6.6425
AL021943,4.995
AL021944,3.125
AL021945,0.98
AL021946,6.45
AL021947,8.625
AL021948,0.49
AL021949,17.715
AL021950,17.205
AL021951,16.1475
AL021952,10.5675
AL021953,2.3825
AL021954,4.135
AL021955,32.2775
