code,name,formation_datetime,formation_lat,formation_lon,ACE,rhum_minus_0_days,rhum_minus_3_days,rhum_minus_7_days,rhum_minus_14_days,sst_minus_0_days,sst_minus_3_days,sst_minus_7_days,sst_minus_14_days,vws_minus_0_days,vws_minus_3_days,vws_minus_7_days,vws_minus_14_days
AL011851,UNNAMED,1851-06-25 00:00:00,28.0,265.2,5.55,58.062843322753906,58.062843322753906,58.062843322753906,58.062843322753906,27.49300193786621,27.49300193786621,27.49300193786621,27.49300193786621,35.90814263448556,35.90814263448556,35.90814263448556,35.90814263448556
AL021851,UNNAMED,1851-07-05 12:00:00,22.2,262.4,0.64,74.06808471679688,78.4905776977539,55.12540435791016,37.81068801879883,28.43800163269043,28.43800163269043,27.738000869750977,27.738000869750977,29.998210146599252,29.998210146599252,29.998210146599252,29.998210146599252
AL031851,UNNAMED,1851-07-10 12:00:00,12.0,300.0,0.25,65.33780670166016,44.40161895751953,43.30699920654297,32.94409942626953,27.893001556396484,27.893001556396484,27.893001556396484,27.575000762939453,38.835398926312365,38.835398926312365,38.835398926312365,38.835398926312365
AL041851,UNNAMED,1851-08-16 00:00:00,13.4,312.0,22.83,68.84622192382812,48.393428802490234,51.262020111083984,58.588401794433594,27.19500160217285,27.19500160217285,27.19500160217285,27.19500160217285,39.611651156864006,39.611651156864006,39.611651156864006,39.611651156864006
AL051851,UNNAMED,1851-09-13 00:00:00,32.5,286.5,4.0,40.36637496948242,42.911155700683594,71.01194763183594,44.56975936889648,26.83500099182129,26.83500099182129,26.83500099182129,27.3700008392334,39.99749016524828,39.99749016524828,39.99749016524828,39.99749016524828
AL061851,UNNAMED,1851-10-16 00:00:00,28.7,282.0,4.86,27.03448486328125,22.881277084350582,24.189247131347656,43.81884002685547,26.825000762939453,26.825000762939453,26.825000762939453,26.825000762939453,22.50641199733214,22.50641199733214,22.50641199733214,22.50641199733214
AL011852,UNNAMED,1852-08-19 00:00:00,20.5,292.9,26.36,79.71734619140625,32.160221099853516,37.71554946899414,43.546443939208984,28.40300178527832,28.40300178527832,28.40300178527832,28.40300178527832,24.43760863147217,24.43760863147217,24.43760863147217,24.43760863147217
AL021852,UNNAMED,1852-09-05 00:00:00,17.0,295.9,2.76,74.47248077392578,58.95198822021485,46.34808349609375,46.07408142089844,28.525001525878903,28.525001525878903,28.36800193786621,28.36800193786621,24.509884130051734,24.509884130051734,24.509884130051734,24.509884130051734
AL031852,UNNAMED,1852-09-09 00:00:00,26.4,269.6,9.06,87.06031036376953,45.4841194152832,49.21710205078125,56.234413146972656,28.525001525878903,28.525001525878903,28.525001525878903,29.31800079345703,27.132777807577448,27.132777807577448,27.132777807577448,27.132777807577448
AL041852,UNNAMED,1852-09-22 00:00:00,16.1,301.5,19.42,78.01278686523438,43.26443862915039,48.65031051635742,59.26594543457031,28.23000144958496,28.23000144958496,28.23000144958496,28.23000144958496,42.05284497809822,42.05284497809822,42.05284497809822,42.05284497809822
AL051852,UNNAMED,1852-10-06 00:00:00,17.0,286.2,16.49,85.13963317871094,84.48307800292969,55.929386138916016,33.73794174194336,28.82000160217285,28.82000160217285,28.705001831054688,28.705001831054688,14.889488883075884,14.889488883075884,14.889488883075884,14.889488883075884
AL011853,UNNAMED,1853-08-05 12:00:00,32.5,291.0,0.25,69.81802368164062,52.33631134033203,38.809539794921875,48.559959411621094,27.875001907348633,27.875001907348633,27.305002212524418,27.305002212524418,43.0368541509494,43.0368541509494,43.0368541509494,43.0368541509494
AL021853,UNNAMED,1853-08-10 12:00:00,12.0,300.0,0.16,57.0797119140625,55.389984130859375,52.2661247253418,42.988861083984375,28.093000411987305,28.093000411987305,28.093000411987305,27.680002212524418,38.835398926312365,38.835398926312365,38.835398926312365,38.835398926312365
AL031853,UNNAMED,1853-08-30 00:00:00,12.1,336.8,45.06,67.27362060546875,72.95331573486328,66.0170669555664,72.93932342529297,26.740001678466797,26.740001678466797,26.740001678466797,26.740001678466797,32.069917072014256,32.069917072014256,32.069917072014256,32.069917072014256
AL041853,UNNAMED,1853-09-08 00:00:00,37.0,307.0,11.62,29.50840187072754,36.91280746459961,27.518739700317383,61.367095947265625,25.50500106811523,25.50500106811523,25.50500106811523,26.42500114440918,14.563764984125957,14.563764984125957,14.563764984125957,14.563764984125957
