code,min_pressure_mb
AL011851,
AL011852,961.0
AL011853,
AL011854,
AL011855,
AL011856,934.0
AL011857,
AL011858,
AL011859,
AL011860,
AL011861,
AL011862,
AL011863,
AL011864,
AL011865,
AL011866,
AL011867,
AL011868,
AL011869,
AL011870,
AL011871,999.0
AL011872,
AL011873,
AL011874,
AL011875,
AL011876,970.0
AL011877,
AL011878,
AL011879,
AL011880,
AL011881,
AL011882,
AL011883,
AL011884,
AL011885,981.0
AL011886,
AL011887,
AL011888,
AL011889,
AL011890,
AL011891,
AL011892,
AL011893,
AL011894,
AL011895,
AL011896,
AL011897,
AL011898,
AL011899,
AL011900,936.0
AL011901,
AL011902,
AL011903,
AL011904,
AL011905,
AL011906,
AL011907,
AL011908,
AL011909,
AL011910,
AL011911,
AL011912,
AL011913,
AL011914,
AL011915,990.0
AL011916,990.0
AL011917,
AL011918,955.0
AL011919,995.0
AL011920,
AL011921,980.0
AL011922,1006.0
AL011923,1006.0
AL011924,
AL011925,
AL011926,967.0
AL011927,950.0
AL011928,971.0
AL011929,982.0
AL011930,
AL011931,
AL011932,
AL011933,1001.0
AL011934,966.0
AL011935,1006.0
AL011936,996.0
AL011937,996.0
AL011938,
AL011939,
AL011940,
AL011941,1001.0
AL011942,
AL011943,967.0
AL011944,
AL011945,
AL011946,
AL011947,
AL011948,
AL011949,963.0
AL011950,953.0
AL011951,
AL011952,
AL011953,994.0
AL011954,1005.0
AL011955,
AL011956,1001.0
AL011957,996.0
AL011958,
AL011959,993.0
AL011960,1000.0
AL011961,976.0
AL011962,984.0
AL011963,969.0
AL011964,992.0
AL011965,1005.0
AL011966,970.0
AL011967,1004.0
AL011968,992.0
AL011970,993.0
AL011971,1000.0
AL011972,991.0
AL011973,
AL011974,
AL011975,
AL011976,994.0
AL011977,
AL011978,1002.0
AL011979,
AL011980,
AL011981,
AL011982,985.0
AL011983,
AL011984,
AL011985,996.0
AL011986,999.0
AL011987,
AL011988,1002.0
AL011989,
AL011990,
AL011991,1000.0
AL011992,1002.0
AL011993,999.0
AL011994,993.0
AL011995,982.0
AL011996,992.0
AL011997,1003.0
AL011998,1002.0
AL011999,1006.0
AL012000,1008.0
AL012001,1000.0
AL012002,992.0
AL012003,994.0
AL012004,957.0
AL012005,989.0
AL012006,969.0
AL012007,998.0
AL012008,1004.0
AL012009,1006.0
AL012010,946.0
AL012011,993.0
AL012012,995.0
AL012013,992.0
AL012014,973.0
AL012015,998.0
AL012016,978.0
AL012017,986.0
AL012018,990.0
AL012019,1006.0
AL012020,989.0
AL012021,1004.0
AL012022,984.0
AL012023,976.0
AL012024,992.0
AL021851,
AL021852,
AL021853,
AL021854,
AL021855,
AL021856,
AL021857,961.0
AL021858,
AL021859,
AL021860,
AL021861,
AL021862,
AL021863,
AL021864,
AL021865,
AL021866,
AL021867,969.0
AL021868,
AL021869,
AL021870,
AL021871,
AL021872,
AL021873,962.0
AL021874,
AL021875,982.0
AL021876,980.0
AL021877,
AL021878,
AL021879,971.0
AL021880,931.0
AL021881,
AL021882,949.0
AL021883,963.0
AL021884,957.0
AL021885,958.0
AL021886,
AL021887,
AL021888,
AL021889,
AL021890,
AL021891,
AL021892,
AL021893,
AL021894,
AL021895,
AL021896,956.0
AL021897,
AL021898,
AL021899,979.0
AL021900,
AL021901,
AL021902,
AL021903,958.0
AL021904,
AL021905,
AL021906,979.0
AL021907,
AL021908,989.0
AL021909,972.0
AL021910,
AL021911,
AL021912,
AL021913,
AL021915,940.0
AL021916,950.0
AL021917,
AL021918,968.0
AL021919,927.0
AL021920,975.0
AL021921,
AL021922,939.0
AL021923,
AL021924,
AL021925,
AL021926,
AL021927,
AL021928,
AL021929,924.0
AL021930,933.0
AL021931,1000.0
AL021932,935.0
AL021933,
AL021934,
AL021935,
AL021936,1000.0
AL021937,
AL021938,
AL021939,985.0
AL021940,972.0
AL021941,985.0
AL021942,
AL021943,
AL021944,
AL021945,
AL021946,1005.0
AL021947,977.0
AL021948,
AL021949,954.0
AL021950,979.0
AL021951,973.0
AL021952,983.0
AL021953,
AL021954,
AL021955,944.0
AL021956,991.0
AL021957,946.0
AL021958,1004.0
AL021959,985.0
AL021960,995.0
AL021961,945.0
AL021962,
AL021963,958.0
AL021964,1006.0
AL021965,
AL021966,984.0
AL021968,990.0
AL021970,1003.0
AL021971,
AL021972,977.0
AL021973,
AL021974,1000.0
AL021975,981.0
AL021976,
AL021977,
AL021978,
AL021979,1005.0
AL021980,
AL021981,
AL021982,984.0
AL021983,
AL021984,
AL021985,1002.0
AL021986,990.0
AL021987,987.0
AL021988,1001.0
AL021989,999.0
AL021990,995.0
AL021991,
AL021992,1007.0
AL021993,1000.0
AL021994,1015.0
AL021995,989.0
AL021996,960.0
AL021997,1000.0
AL021998,954.0
AL021999,1004.0
AL022000,1008.0
AL022001,1010.0
