code,aew_strength_minus_0_days,aew_strength_minus_2_days,aew_strength_minus_3_days
AL011979,4.19954599132057E-06,4.15562049903408E-06,3.71239961798151E-06
AL021979,3.69699585912832E-06,4.15520728368131E-06,6.6021051731932E-06
AL031979,2.56530611451329E-06,5.37244982395435E-06,4.62046307136328E-06
AL041979,2.85245315154019E-06,8.96351522099181E-06,5.37244982395435E-06
AL051979,3.30061609638902E-06,2.56530611451329E-06,8.96351522099181E-06
AL061979,3.42835446018434E-06,6.73042492298382E-06,2.59162362150732E-06
AL071979,5.12926520766125E-06,3.88972512540801E-06,3.00812823190978E-06
AL081979,5.15075782148162E-06,3.32459862220057E-06,5.25714936013531E-06
AL091979,2.89448768438076E-06,2.77955786148122E-06,9.19174833261111E-06
AL101979,2.48693077754299E-06,2.77955786148122E-06,9.19174833261111E-06
AL111979,5.55553989371793E-06,4.0140049367671E-06,4.97915379727946E-06
AL121979,7.28487027777909E-06,3.99198907161044E-06,4.0140049367671E-06
AL131979,4.61819985515623E-06,7.28487027777909E-06,5.55553989371793E-06
AL141979,2.67656205928363E-06,8.14173062777243E-06,4.61819985515623E-06
AL151979,2.88797143429124E-06,2.28483224806309E-06,2.53186678153773E-06
AL161979,3.21452460867923E-06,1.74577377646596E-06,2.28483224806309E-06
AL171979,2.26124457542895E-06,4.9640986672174E-06,4.14462782381362E-06
AL181979,0.0,0.0,0.0
AL191979,3.98584761493593E-06,0.0,0.0
AL201979,0.0,0.0,0.0
AL011980,1.16400738089568E-05,2.64617352746522E-06,9.71771951210036E-06
AL021980,1.16400738089568E-05,2.64617352746522E-06,9.71771951210036E-06
AL031980,3.02519579886324E-06,6.28194144772941E-06,2.53549433339222E-06
AL041980,4.19379237475417E-06,4.20498898998384E-06,5.25764020057353E-06
AL051980,5.28062080983064E-06,4.89977829134272E-06,2.60435559751696E-06
AL061980,9.42595970384811E-07,9.64934759551824E-06,4.89977829134272E-06
