code,amo
AL011851,-0.2643198
AL011852,0.2652884
AL011853,0.06452499
AL011854,0.3587915
AL011855,0.1014212
AL011856,0.101261
AL011857,-0.1242607
AL011858,-0.1535889
AL011859,0.06493098
AL011860,-0.08244408
AL011861,0.04519526209521352
AL011862,-0.3494586
AL011863,0.0122118
AL011864,0.0484329103584392
AL011865,-0.2447557
AL011866,0.050142380388791506
AL011867,-0.2064456
AL011868,0.05161051138033611
AL011869,0.1942134
AL011870,0.1914393
AL011871,0.4474
AL011872,0.4981944
AL011873,-0.09366209
AL011874,-0.1068109
AL011875,0.170223
AL011876,0.5813847
AL011877,0.0390946
AL011878,-0.005079426
AL011879,-0.3107575
AL011880,0.03760171
AL011881,-0.315805
AL011882,-0.08668603
AL011883,-0.08923036
AL011884,-0.1864564
AL011885,0.09167469
AL011886,0.3133972
AL011887,0.2077895
AL011888,0.2386481
AL011889,0.1372211
AL011890,0.1925979
AL011891,0.2329725
AL011892,-0.02279449
AL011893,0.4423769
AL011894,-0.108456
AL011895,-0.09161874
AL011896,0.148987
AL011897,-0.181676
AL011898,0.8603694
AL011899,0.4736462
AL011900,-0.0342759
AL011901,0.3071125
AL011902,-0.6371747
AL011903,-0.406555
AL011904,-0.2969737
AL011905,-0.4856826
AL011906,-0.04802908
AL011907,-0.2623857
AL011908,0.1165823
AL011909,-0.2330442
AL011910,0.03466159
AL011911,0.5436707
AL011912,-0.140408
AL011913,-0.5254564
AL011914,-0.1700475
AL011915,-0.1053682
AL011916,-0.006062597
AL011917,-0.05554312
AL011918,-0.4284212
AL011919,-0.4071527
AL011920,-0.2089069
AL011921,-0.2044805
AL011922,-0.09918323
AL011923,-0.3124243
AL011924,-0.130387
AL011925,-0.1081837
AL011926,-0.1541203
AL011927,0.08168969
AL011928,0.1221469
AL011929,-0.05361398
AL011930,0.059269
AL011931,0.09054442
AL011932,0.1223526
AL011933,0.3066532
AL011934,0.2926806
AL011935,0.2929207
AL011936,0.2256669
AL011937,0.7610686
AL011938,0.03241941
AL011939,0.1576415
AL011940,-0.2632276
AL011941,0.1382581
AL011942,0.5047354
AL011943,-0.08353291
AL011944,-0.05190581
AL011945,0.1998448
AL011946,0.1871189
AL011947,-0.2822462
AL011948,-0.2197956
AL011949,0.2814819
AL011950,0.1177401
AL011951,0.4613154
AL011952,0.2227582
AL011953,0.4016117
AL011954,0.1479184
AL011955,0.7034996
AL011956,-0.1950731
AL011957,-0.2443354
AL011958,-0.1082358
AL011959,-0.1742486
AL011960,0.1694872
AL011961,0.06073457
AL011962,-0.3370268
AL011963,-0.3965711
AL011964,-0.08110265
AL011965,-0.1048683
AL011966,-0.3411628
AL011967,-0.2681489
AL011968,-0.353038
AL011970,-0.2655475
AL011971,-0.1886985
AL011972,-0.6504196
AL011973,-0.4707859
AL011974,-0.5474893
AL011975,-0.2400168
AL011976,-0.03728599
AL011977,-0.2093507
AL011978,-0.09774901
AL011979,0.01446491
AL011980,-0.2583753
AL011981,-0.1972886
AL011982,-0.2515776
AL011983,-0.1222446
AL011984,-0.3573176
AL011985,-0.04405042
AL011986,-0.2566299
AL011987,-0.07911994
AL011988,-0.1935399
AL011989,0.6139269
AL011990,-0.2653035
AL011991,-0.4101728
AL011992,-0.1025703
AL011993,-0.2103136
AL011994,-0.2972081
AL011995,0.2565327
AL011996,-0.1829089
AL011997,-0.03549919
AL011998,0.06168078
AL011999,0.4377273
AL012000,0.09010331
AL012001,0.2672266
AL012002,-0.5735337
AL012003,0.04459563
AL012004,0.2971499
AL012005,-0.01862128
AL012006,0.3632346
AL012007,0.04088071
AL012008,0.347972
AL012009,-0.07632329
AL012010,-0.02460068
AL012011,-0.03633668
AL012012,0.1572864
AL012013,-0.322539
AL012014,-0.1056196
AL012015,-0.2038344
AL012016,-0.1761186
AL012017,0.1040331
AL012018,-0.000917986
AL012019,-0.000532493
AL012020,-0.1481099
AL012021,0.3120322
AL012022,-0.0002442896
AL012023,0.4039239
AL012024,0.5019015
AL021851,0.0006296784
AL021852,-0.01537079
AL021853,0.06452499
AL021854,0.5434471
AL021855,0.1014212
AL021856,0.101261
AL021857,0.131015
AL021858,-0.218124
AL021859,0.2530781
AL021860,-0.08244408
AL021861,-0.1570136
AL021862,-0.7425737
AL021863,0.0122118
AL021864,0.0484329103584392
AL021865,0.04926080075763211
AL021866,0.05020728682414494
AL021867,0.05086755562986564
AL021868,0.051658298063357706
AL021869,0.1942134
AL021870,0.2841065
AL021871,0.4474
AL021872,0.05328227964374393
AL021873,-0.005044296
AL021874,-0.1550696
AL021875,0.1252556
AL021876,0.5813847
AL021877,-0.3129176
AL021878,0.4450997
AL021879,-0.3107575
AL021880,0.148856
AL021881,-0.315805
AL021882,-0.1450633
AL021883,-0.08923036
AL021884,-0.1864564
AL021885,0.09167469
AL021886,0.3133972
AL021887,0.2077895
AL021888,-0.114989
AL021889,-0.03785139
AL021890,-0.004022405
AL021891,0.2149095
AL021892,0.3931
AL021893,0.02474917
AL021894,0.0452639
AL021895,-0.09161874
AL021896,0.1871086
AL021897,-0.2611014
AL021898,0.8603694
AL021899,0.2803799
AL021900,0.05160561
AL021901,0.2404445
AL021902,-0.6371747
AL021903,-0.7518937
AL021904,-0.2833524
AL021905,-0.4856826
AL021906,-0.04802908
AL021907,0.08114961
AL021908,0.008453801
AL021909,-0.2330442
AL021910,0.03466159
AL021911,0.5436707
AL021912,-0.2474444
AL021913,-0.1745297
AL021915,0.0004331023
AL021916,0.2577675
AL021917,0.1543656
AL021918,-0.4284212
AL021919,0.1562812
AL021920,-0.2089069
AL021921,-0.07302325
AL021922,-0.1645495
AL021923,-0.1439165
AL021924,-0.275265
AL021925,-0.1081837
AL021926,-0.1541203
AL021927,-0.1038499
AL021928,0.1221469
AL021929,0.2606692
AL021930,0.059269
AL021931,-0.0842938
AL021932,0.7504649
AL021933,0.4138713
AL021934,0.4421664
AL021935,0.0909895
AL021936,0.2256669
AL021937,0.719413
AL021938,0.2990613
AL021939,0.4290239
AL021940,-0.1319759
AL021941,0.1382581
AL021942,0.5047354
AL021943,0.09136268
AL021944,-0.05190581
AL021945,0.142473
AL021946,-0.02013613
AL021947,-0.03714961
AL021948,-0.04484185
AL021949,0.2814819
AL021950,0.1177401
AL021951,0.2892708
AL021952,0.6349738
AL021953,0.1815733
AL021954,0.1882949
AL021955,0.43666
AL021956,0.09848528
AL021957,-0.2443354
AL021958,-0.0647456
AL021959,-0.3654188
AL021960,0.1646683
AL021961,-0.01614939
AL021962,-0.3370268
AL021963,-0.5718845
AL021964,-0.1536866
AL021965,-0.09088934
AL021966,-0.3411628
AL021968,-0.353038
AL021970,-0.2987394
AL021971,-0.1886985
AL021972,-0.5665265
AL021973,-0.468478
AL021974,-0.5474893
AL021975,-0.2400168
AL021976,-0.0657316
AL021977,-0.119382
AL021978,-0.3289383
AL021979,0.01446491
AL021980,-0.2583753
AL021981,-0.1972886
AL021982,-0.2515776
AL021983,-0.1222446
AL021984,-0.3573176
AL021985,-0.04405042
AL021986,-0.2566299
AL021987,0.1787661
AL021988,-0.1935399
AL021989,0.6139269
AL021990,-0.2971747
AL021991,-0.5760218
AL021992,-0.136374
AL021993,-0.3984281
AL021994,-0.114877
AL021995,0.1296913
AL021996,-0.25969
AL021997,-0.3845969
AL021998,0.2196363
AL021999,0.3327177
AL022000,0.09010331
AL022001,-0.04059809
AL022002,-0.1923996
AL022003,0.04785661
AL022004,0.1207146
AL022005,-0.01862128
AL022006,0.4132828
AL022007,0.04088071
AL022008,0.2509336
AL022009,-0.1213458
AL022010,-0.002789028
AL022011,-0.364612
AL022012,0.1572864
AL022013,-0.322539
AL022014,0.1607495
AL022015,-0.1854035
AL022016,-0.02229999
AL022017,-0.02433658
AL022018,-0.2475229
AL022019,0.1262816
AL022020,-0.1481099
AL022021,0.1398476
AL022022,-0.0002442896
AL022023,0.3768142
AL022024,0.5019015
AL031851,0.0006296784
AL031852,-0.01537079
AL031853,0.06452499
AL031854,0.2607546
AL031855,0.1014212
AL031856,0.101261
AL031857,0.131015
AL031858,-0.1414031
AL031859,0.37755
AL031860,0.02420981
AL031861,-0.1570136
AL031862,-0.3758679
AL031863,0.0122118
AL031864,1.028202
AL031865,0.04940358573862631
AL031866,0.050271574706574625
AL031867,0.050925236907308116
AL031868,0.051658298063357706
AL031869,0.1942134
AL031870,-0.2980233
AL031871,0.2347319
AL031872,0.05330514030642522
AL031873,0.01930331
AL031874,-0.1550696
AL031875,0.1252556
AL031876,0.5813847
AL031877,-0.3129176
AL031878,0.4450997
AL031879,-0.3107575
AL031880,0.148856
AL031881,-0.315805
AL031882,-0.1450633
AL031883,-0.3485525
AL031884,-0.1864564
AL031885,0.09167469
AL031886,0.3133972
AL031887,0.5753594
AL031888,-0.1038935
AL031889,-0.0566068
AL031890,-0.004022405
AL031891,0.2149095
AL031892,-0.1826277
AL031893,0.1870472
AL031894,0.0452639
AL031895,0.2054829
AL031896,0.2307697
