code,cape_minus_0_days,cape_minus_2_days,cape_minus_3_days
AL011940,0.0,3.5,0.0
AL011941,178.125,196.875,390.0
AL011942,399.25,517.5,517.25
AL011943,1.25,0.375,0.5
AL011944,10.125,15.5,0.0
AL011945,0.0,0.0,0.0
AL011946,2.625,1.75,24.125
AL011947,0.0,90.5,389.25
AL011948,0.0,0.0,0.0
AL011949,132.625,145.75,371.5
AL011950,74.0,0.0,0.0
AL011951,8.6875,7.8125,27.3125
AL011952,0.0,0.0,0.0
AL011953,0.0,0.0,0.0
AL011954,0.0,0.125,0.125
AL011955,0.0,0.0,0.5
AL011956,0.0,0.0,0.0
AL011957,0.0,0.0,0.0
AL011958,0.0,0.0,0.0
AL011959,0.0,0.0,0.0
AL011960,75.875,0.0,0.0
AL011961,980.0,978.125,663.375
AL011962,0.0,0.0,2.75
AL011963,937.25,1596.5,498.5
AL011964,0.0,0.0,0.0
AL011965,0.0,0.0,0.0
AL011966,0.0,75.25,0.0
AL011967,9.125,0.0,0.0
AL011968,0.0,0.0,0.0
AL011970,2020.75,713.5,725.875
AL011971,7.375,16.25,8.375
AL011972,2.75,0.5,0.875
AL011973,0.0,0.0,0.0
AL011974,0.5,0.0,0.0
AL011975,2.125,12.0,2.875
AL011976,0.0,0.0,0.0
AL011977,0.0,0.0,0.0
AL011978,0.0,0.0,0.0
AL011979,350.5,0.0,0.0
AL011980,0.5,0.0,0.0
AL011981,0.0,0.0,0.0
AL011982,0.0,0.0,0.0
AL011983,223.25,539.0,238.25
AL011984,0.75,3.875,13.75
AL011985,0.0,0.25,0.0
AL011986,1.125,0.0,0.0
AL011987,0.0,0.0,0.0
AL011988,7.5,1.25,0.25
AL011989,0.0,1.125,33.25
AL011990,0.0,0.0,0.0
AL011991,0.0,92.75,0.0
AL011992,0.0,0.0,0.0
AL011993,0.0,0.0,0.0
AL011994,0.0,0.0,0.0
AL011995,0.0,0.0,0.0
AL011996,6.25,0.125,0.5
AL011997,10.75,27.0,12.5
AL011998,577.5,466.75,276.5
AL011999,0.125,0.0,0.25
AL012000,0.0,0.0,0.0
AL012001,0.0,0.0,0.0
AL012002,4.75,4.5,2.5
AL012003,16.625,5.875,6.875
AL012004,0.0,256.25,182.0
AL012005,2.5,683.25,125.25
AL012006,0.0,0.0,0.0
AL012007,0.0,12.625,25.0
AL012008,0.0,0.0,0.0
AL012009,8.0,1.375,0.5
AL012010,440.75,0.0,440.5
AL012011,7.75,0.0,142.625
AL012012,3.5,1.0,0.0
AL012013,0.0,0.0,0.0
AL012014,0.5,1.0,8.5
AL012015,0.0,0.0,0.0
AL012016,0.0,0.125,0.0
AL012017,0.0,7.5,44.25
AL012018,0.0,0.0,0.0
AL012019,44.5,14.25,0.0
AL012020,5.5,15.875,25.25
AL012021,0.0,0.0,0.625
AL012022,1.25,0.25,0.25
AL012023,5.875,7.3125,0.0
AL012024,0.0,0.0,0.0
AL021940,6.75,0.5,4.25
AL021941,0.75,0.0,0.0
AL021942,468.0,300.875,149.0
AL021943,1422.25,567.5,1356.25
AL021944,1054.75,1175.0,789.125
AL021945,0.0,1.75,0.0
AL021946,0.0,0.0,0.125
AL021947,592.75,328.5,305.5
AL021948,0.25,0.5,8.25
AL021949,921.5,1300.75,1379.5
AL021950,746.75,418.5,457.25
AL021951,0.75,0.25,2.25
AL021952,548.5,798.5,923.5
AL021953,0.0,0.0,0.0
AL021954,0.0,0.0,0.0
AL021955,589.25,758.25,453.0
AL021956,0.0,0.0,0.0
AL021957,0.0,0.0,0.0
AL021958,225.25,1470.5,678.75
AL021959,0.0,0.0,0.0
AL021960,583.25,718.0,829.25
AL021961,130.125,1063.875,502.625
AL021962,145.0,1496.0,912.75
AL021963,1205.0,973.5,396.25
AL021964,811.0,994.25,365.5
AL021965,7.0,0.5,18.0
AL021966,0.75,0.25,0.0
AL021968,0.0,0.0,0.0
AL021970,180.125,90.5,14.0
AL021971,2.5,5.0,35.5
AL021972,0.0,0.0,0.0
AL021973,0.0,0.0,0.0
AL021974,0.0,0.25,0.0
AL021975,3.5,0.0,2.375
AL021976,25.125,0.375,0.0
AL021977,0.0,0.0,0.25
AL021978,0.0,0.0,0.0
AL021979,365.75,481.0,511.0
AL021980,0.0,0.0,0.0
AL021981,2.5,724.75,756.0
AL021982,0.125,0.0,0.0
AL021983,729.0,1431.0,454.25
AL021984,0.0,4.5,277.5
AL021985,2.875,0.0,0.0
AL021986,0.0,0.0,0.0
AL021987,4.25,2.5,5.75
AL021988,0.25,0.0,6.0
AL021989,0.25,0.0,31.75
AL021990,250.0,146.25,163.0
AL021991,0.5,0.0,0.25
AL021992,0.0,0.0,0.0
AL021993,1.0,0.0,0.0
AL021994,0.0,1.625,6.75
AL021995,0.625,12.75,20.625
AL021996,1688.0,162.5,326.75
AL021997,0.0,9.75,39.75
AL021998,1398.5,1347.75,801.25
AL021999,1.75,89.5,0.0
AL022000,549.25,472.25,418.75
AL022001,1110.875,764.0,859.25
AL022002,0.0,3.0,1.75
AL022003,751.25,707.5,454.25
AL022004,918.25,305.0,1400.0
AL022005,0.0,77.625,2.75
AL022006,0.0,0.5,3.0
AL022007,0.0,0.0,0.0
AL022008,255.25,255.25,1345.25
AL022009,695.5,493.375,757.5
AL022010,0.0,0.0,0.0
AL022011,0.0,0.0,0.75
AL022012,0.125,0.0,0.75
AL022013,1406.625,1699.875,1567.875
AL022014,206.0,293.5,178.5
AL022015,0.25,4.0,0.0
AL022016,0.25,3.875,1.625
AL022017,420.0,501.0,375.75
AL022018,263.5,399.5,567.0
AL022019,22.75,3.75,1.75
AL022020,0.0,0.0,0.0
AL022021,6.25,0.0,0.0
AL022022,489.25,187.0,211.5
AL022023,0.0,0.25,0.0
AL022024,437.75,618.75,319.75
AL031940,408.5,228.0,69.0
AL031941,38.0,91.125,149.25
AL031942,1108.125,907.25,807.625
AL031943,628.75,1068.75,736.75
AL031944,207.75,68.0,0.0
AL031945,920.5,739.875,982.375
AL031946,0.0,10.5,0.0
AL031947,0.0,1.75,538.25
AL031948,192.5,395.375,423.75
AL031949,1433.25,366.5,573.5
AL031950,296.0,519.75,678.5
AL031951,0.0,1.625,1.75
AL031952,2.25,68.625,0.75
AL031953,0.0,0.0,0.0
AL031954,0.0,0.5,0.25
AL031955,300.75,132.75,612.5
AL031956,322.5,168.0,134.75
AL031957,0.0,0.0,0.0
AL031958,282.25,585.75,132.75
AL031959,0.0,0.0,0.0
AL031960,0.25,1.0,1.0
AL031961,267.375,294.25,1321.75
AL031962,1711.125,1305.875,1722.5
AL031963,0.0,79.125,29.75
AL031964,6.375,0.75,0.0
AL031965,752.75,1292.25,767.0
AL031966,0.0,0.0,0.0
AL031967,8.625,0.25,0.0
AL031968,0.0,0.0,0.25
AL031969,0.0,0.0,0.0
AL031970,0.0,0.0,1.0
AL031971,1.0,0.25,0.0
AL031972,5.75,2.0,1.5
AL031973,0.75,0.0,0.0
AL031974,38.0,0.0,0.0
AL031975,0.0,0.0,0.0
AL031976,11.5,0.0,0.375
AL031977,0.0,0.0,0.0
AL031978,693.0,19.25,269.75
AL031979,1.0,0.0,0.0
AL031980,0.0,0.0,0.0
AL031981,164.375,458.25,23.5
AL031982,986.75,712.75,813.25
AL031983,0.0,0.25,0.5
AL031984,1342.0,673.0,1419.25
AL031985,0.0,0.0,0.0
AL031986,0.0,0.0,0.0
AL031987,0.0,0.0,0.0
AL031988,1248.25,945.75,1107.5
AL031989,766.25,1124.0,1071.25
AL031990,0.0,0.5,2.25
AL031991,0.0,2.0,0.0
AL031992,0.0,0.0,0.5
AL031993,858.25,1151.25,870.0
AL031994,0.25,0.5,0.5
AL031995,1044.25,215.0,0.0
AL031996,531.0,1270.75,1313.0
AL031997,0.25,0.0,0.0
AL031998,0.0,0.0,0.0
AL031999,4.25,174.5,396.5
AL032000,294.0,240.75,212.75
AL032001,0.0,0.0,0.0
AL032002,0.5,2.0,1.25
AL032003,1.375,3.75,22.125
AL032004,211.5,884.75,365.5
AL032005,34.625,0.0,0.0
AL032006,0.25,1.75,2.75
AL032007,0.0,6.75,1.25
AL032008,1.75,0.0,0.0
AL032009,905.375,272.875,425.0
AL032010,19.25,22.5,99.5
AL032011,3.0,10.25,11.0
AL032012,0.375,1.375,0.0
AL032013,235.5,326.5,325.0
AL032014,198.5,357.75,153.75
AL032015,0.75,1.0,0.25
AL032016,0.0,0.0,0.0
AL032017,0.0,0.0,0.0
AL032018,0.0,0.0,3.75
AL032019,0.0,0.0,0.0
AL032020,0.0,0.375,0.0
AL032021,0.0,0.125,0.0
AL032022,14.875,13.75,10.75
AL032023,1055.625,609.75,254.25
AL032024,0.0,0.0,0.0
AL041940,4.5,0.0,11.75
AL041941,1648.125,1600.625,1337.75
AL041942,16.5,19.125,15.25
AL041943,0.0,0.0,80.0
AL041944,153.25,391.75,185.75
AL041945,612.75,33.375,247.75
AL041946,0.0,0.0,0.0
AL041947,361.0,598.75,854.5
AL041948,1195.75,1116.5,1308.25
AL041949,12.75,958.25,1344.375
AL041950,556.25,1062.0,469.25
AL041951,983.75,398.125,152.625
AL041952,195.25,81.0,17.375
AL041953,275.25,1124.625,677.25
AL041954,4.75,0.125,0.875
