code,formation_datetime,formation_lat,formation_lon
AL011851,1851-06-25 00:00:00,28.0,265.2
AL011852,1852-08-19 00:00:00,20.5,292.9
AL011853,1853-08-05 12:00:00,32.5,291.0
AL011854,1854-06-25 00:00:00,26.0,267.5
AL011855,1855-08-06 12:00:00,22.2,262.0
AL011856,1856-08-09 00:00:00,25.0,276.1
AL011857,1857-06-30 00:00:00,34.0,285.5
AL011858,1858-06-12 12:00:00,19.0,274.5
AL011859,1859-07-01 12:00:00,21.5,262.5
AL011860,1860-08-08 00:00:00,27.9,275.9
AL011861,1861-07-06 00:00:00,15.1,301.5
AL011862,1862-06-15 00:00:00,32.0,284.4
AL011863,1863-08-08 00:00:00,37.7,309.2
AL011864,1864-07-16 00:00:00,30.8,284.0
AL011865,1865-05-30 00:00:00,13.0,280.0
AL011866,1866-07-11 12:00:00,28.0,272.7
AL011867,1867-06-21 12:00:00,29.5,280.0
AL011868,1868-09-03 00:00:00,27.4,291.0
AL011869,1869-08-12 00:00:00,40.5,312.5
AL011870,1870-07-30 18:00:00,30.5,272.0
AL011871,1871-06-01 00:00:00,24.1,279.0
AL011872,1872-07-09 00:00:00,23.5,268.0
AL011873,1873-06-01 06:00:00,24.2,281.2
AL011874,1874-07-02 00:00:00,25.8,274.9
AL011875,1875-08-16 00:00:00,29.5,285.5
AL011876,1876-09-09 00:00:00,39.0,299.2
AL011877,1877-08-01 00:00:00,23.1,287.9
AL011878,1878-07-01 00:00:00,25.4,272.7
AL011879,1879-08-09 00:00:00,31.5,283.0
AL011880,1880-06-21 00:00:00,26.7,273.5
AL011881,1881-08-01 00:00:00,23.0,274.5
AL011882,1882-08-24 06:00:00,37.5,308.0
AL011883,1883-08-18 00:00:00,19.2,311.5
AL011884,1884-09-01 00:00:00,38.5,297.5
AL011885,1885-08-07 00:00:00,24.1,301.9
AL011886,1886-06-13 06:00:00,23.2,264.3
AL011887,1887-05-15 00:00:00,29.3,296.2
AL011888,1888-06-16 00:00:00,27.5,266.8
AL011889,1889-05-16 06:00:00,21.5,295.9
AL011890,1890-05-27 12:00:00,20.5,277.0
