code,nao
AL011851,-1.62
AL011852,2.94
AL011853,-2.36
AL011854,-0.06
AL011855,3.81
AL011856,-0.44
AL011857,-0.33
AL011858,-0.24
AL011859,2.24
AL011860,-0.16
AL011861,0.73
AL011862,-0.22
AL011863,0.1
AL011864,0.5
AL011865,0.87
AL011866,0.29
AL011867,-1.2
AL011868,-2.65
AL011869,1.15
AL011870,-0.36
AL011871,-1.37
AL011872,-3.61
AL011873,0.78
AL011874,0.18
AL011875,1.71
AL011876,-2.62
AL011877,-1.83
AL011878,-1.93
AL011879,-0.29
AL011880,0.45
AL011881,0.42
AL011882,2.05
AL011883,3.0
AL011884,1.6
AL011885,-1.03
AL011886,-1.17
AL011887,0.44
AL011888,-1.7
AL011889,-0.39
AL011890,-1.14
AL011891,-0.54
AL011892,-0.47
AL011893,-0.56
AL011894,2.78
AL011895,1.72
AL011896,1.23
AL011897,2.49
AL011898,3.56
AL011899,-0.25
AL011900,-0.06
AL011901,0.21
AL011902,-3.25
AL011903,0.43
AL011904,-0.87
AL011905,-0.19
AL011906,-1.68
AL011907,0.76
AL011908,0.74
AL011909,-1.35
AL011910,0.31
AL011911,0.13
AL011912,-0.98
AL011913,1.03
AL011914,0.43
AL011915,-1.19
AL011916,-0.72
AL011917,-0.21
AL011918,1.76
AL011919,-1.33
AL011920,0.41
AL011921,-1.6
AL011922,0.79
AL011923,0.53
AL011924,-2.09
AL011925,1.43
AL011926,-0.69
AL011927,1.6
AL011928,-1.8
AL011929,-0.06
AL011930,1.81
AL011931,-0.96
AL011932,-0.68
AL011933,-0.55
AL011934,-2.49
AL011935,-3.21
AL011936,0.76
AL011937,0.19
AL011938,2.64
AL011939,-1.4
AL011940,-0.25
AL011941,-0.97
AL011942,0.08
AL011943,0.05
AL011944,-2.16
AL011945,0.37
AL011946,2.56
AL011947,0.19
AL011948,-1.23
AL011949,1.38
AL011950,-0.28
AL011951,0.82
AL011952,0.15
AL011953,-0.75
AL011954,-0.91
AL011955,-1.32
AL011956,1.26
AL011957,-0.8
AL011958,-1.44
AL011959,-2.22
AL011960,-0.41
AL011961,0.63
AL011962,2.28
AL011963,-0.65
AL011964,-1.85
AL011965,0.87
AL011966,0.82
AL011967,1.96
AL011968,0.95
AL011970,1.87
AL011971,-1.04
AL011972,1.24
AL011973,-2.61
AL011974,-0.14
AL011975,0.18
AL011976,1.2
AL011977,-0.89
AL011978,0.46
AL011979,0.45
AL011980,-0.91
AL011981,-3.04
AL011982,-1.86
AL011983,-0.75
AL011984,0.33
AL011985,1.09
AL011986,-1.29
AL011987,-0.81
AL011988,0.73
AL011989,-0.53
AL011990,-1.19
AL011991,-0.31
AL011992,1.32
AL011993,-2.59
AL011994,2.98
AL011995,-3.36
AL011996,1.43
AL011997,-1.35
AL011998,-0.57
AL011999,1.39
AL012000,0.89
AL012001,-1.33
AL012002,-0.71
AL012003,-1.74
AL012004,-0.3
AL012005,-1.0
AL012006,-0.41
AL012007,0.62
AL012008,-3.26
AL012009,1.52
AL012010,-3.65
AL012011,-1.58
AL012012,-0.83
AL012013,1.4
AL012014,-1.98
AL012015,2.09
AL012016,1.17
AL012017,1.5
AL012018,2.01
AL012019,2.05
AL012020,-0.09
AL012021,-0.34
AL012022,-0.34
AL012023,1.21
AL012024,-1.45
AL021851,-5.39
AL021852,-2.02
AL021853,-2.36
AL021854,-0.03
AL021855,3.81
AL021856,-0.44
AL021857,1.21
AL021858,0.06
AL021859,1.82
AL021860,-0.16
AL021861,2.91
AL021862,-1.43
AL021863,0.1
AL021864,0.5
AL021865,0.74
AL021866,0.77
AL021867,-1.77
AL021868,1.87
AL021869,1.15
AL021870,-3.41
AL021871,-1.37
AL021872,-1.43
AL021873,3.44
AL021874,0.82
AL021875,-0.01
AL021876,-2.62
