code,rhum_minus_0_days,rhum_minus_3_days,rhum_minus_7_days,rhum_minus_14_days
AL011851,58.062843322753906,20.147111892700195,40.27147674560547,25.25493812561035
AL011852,79.71734619140625,32.160221099853516,37.71554946899414,43.546443939208984
AL011853,69.81802368164062,52.33631134033203,38.809539794921875,48.559959411621094
AL011854,65.96412658691406,53.569068908691406,60.58830261230469,64.11223602294922
AL011855,71.77276611328125,74.63040924072266,75.8320083618164,60.650848388671875
AL011856,67.69493103027344,38.22883224487305,38.47309875488281,51.48984146118164
AL011857,42.1555061340332,28.48779296875,40.918853759765625,51.369293212890625
AL011858,89.67255401611328,79.04864501953125,66.54754638671875,64.23021697998047
AL011859,81.00894165039062,91.69630432128906,77.08036804199219,57.88970184326172
AL011860,75.34123229980469,68.08261108398438,45.165225982666016,60.844627380371094
AL011861,90.0865249633789,47.453365325927734,35.489505767822266,29.31313705444336
AL011862,40.922454833984375,26.650306701660156,48.495723724365234,71.77250671386719
AL011863,44.89384078979492,50.15851593017578,41.199745178222656,47.522830963134766
AL011864,48.55480194091797,44.56001281738281,35.04460144042969,52.31175994873047
AL011865,71.91688537597656,77.40744018554688,76.83592224121094,67.07447052001953
AL011866,72.86880493164062,63.150245666503906,54.53382873535156,49.62212371826172
AL011867,70.6855239868164,64.19774627685547,47.620872497558594,34.61569595336914
AL011868,71.87814331054688,22.099029541015625,45.294647216796875,36.525657653808594
AL011869,43.49610137939453,39.8463134765625,54.60797119140625,70.24537658691406
AL011870,70.77165222167969,53.017616271972656,44.055030822753906,73.69271087646484
AL011871,60.423519134521484,64.30549621582031,37.09119415283203,42.326744079589844
AL011872,54.44769287109375,49.87936782836914,60.1201057434082,45.517333984375
AL011873,63.35536575317383,56.64326477050781,66.5509033203125,25.38715934753418
AL011874,68.72566986083984,65.17601776123047,59.73189163208008,50.864280700683594
AL011875,58.433353424072266,59.52780532836914,62.528221130371094,33.24675750732422
AL011876,37.55296325683594,41.669158935546875,47.9665412902832,26.532909393310547
AL011877,55.857208251953125,51.23857879638672,38.74501037597656,44.04010772705078
AL011878,55.148887634277344,58.52565002441406,56.098148345947266,54.39962387084961
AL011879,73.45868682861328,61.044010162353516,55.05829620361328,70.1978759765625
AL011880,63.28507614135742,22.74078369140625,32.47343444824219,48.02159118652344
AL011881,74.56694030761719,70.6839599609375,50.30109786987305,43.96482467651367
AL011882,42.3581657409668,54.05056381225586,37.93840789794922,34.25139236450195
AL011883,65.78109741210938,35.41218948364258,42.39878463745117,37.00729751586914
AL011884,58.035240173339844,21.94849967956543,53.139320373535156,34.63640213012695
AL011885,87.82186889648438,22.323680877685547,50.138248443603516,36.26362991333008
AL011886,74.29058837890625,54.21677017211914,36.33083724975586,33.58695983886719
AL011887,44.23822784423828,17.77919578552246,20.217098236083984,46.4626579284668
AL011888,73.21371459960938,52.778419494628906,22.720624923706055,43.16151809692383
AL011889,64.23019409179688,59.022911071777344,64.40898895263672,40.89577102661133
AL011890,74.359130859375,54.636924743652344,52.077720642089844,36.14322280883789
AL011891,75.88065338134766,57.18482971191406,56.63489532470703,52.56828689575195
AL011892,75.99602508544922,50.345298767089844,64.9557113647461,39.74925231933594
AL011893,82.36807250976562,61.96100997924805,76.91857147216797,58.94144058227539
AL011894,47.91392517089844,53.3510856628418,45.334617614746094,55.93214416503906
AL011895,66.95390319824219,58.95024871826172,50.147117614746094,36.78183364868164
AL011896,54.36546325683594,49.814659118652344,37.765716552734375,58.858299255371094
AL011897,78.361083984375,69.49884033203125,60.35367965698242,56.408470153808594
AL011898,63.8341064453125,44.61833953857422,62.62586975097656,48.1932487487793
AL011899,67.9303207397461,40.323856353759766,14.710680961608887,60.430599212646484
AL011900,71.18523406982422,48.653892517089844,42.46428298950195,48.35032272338867
AL011901,80.00651550292969,56.8996467590332,54.68315887451172,67.16468811035156
AL011902,65.45018005371094,63.50762939453125,60.11714553833008,59.82545471191406
AL011903,79.36378479003906,51.01715087890625,54.67951202392578,63.90169906616211
AL011904,75.71809387207031,80.23847198486328,72.50365447998047,76.73634338378906
AL011905,75.01673889160156,69.1827163696289,68.98396301269531,65.21026611328125
AL011906,66.09276580810547,55.85624694824219,55.126625061035156,63.60374450683594
AL011907,55.112205505371094,40.89650344848633,51.83213424682617,53.38706588745117
AL011908,59.302490234375,35.38679504394531,37.9354362487793,16.863689422607422
AL011909,79.55499267578125,75.31425476074219,76.638916015625,74.81077575683594
AL011910,63.08311080932617,35.86365509033203,48.99677276611328,40.0659065246582
AL011911,68.68775939941406,54.53050231933594,19.790050506591797,53.47007369995117
AL011912,54.51560592651367,61.771141052246094,40.951351165771484,24.53074836730957
AL011913,74.50543212890625,76.52899932861328,78.51122283935547,70.96818542480469
AL011914,53.68294143676758,56.29936981201172,52.53138732910156,37.25132751464844
AL011915,76.89678955078125,56.385986328125,69.86878204345703,50.888370513916016
AL011916,42.31349182128906,34.637786865234375,61.44439697265625,49.159908294677734
AL011917,62.36381530761719,50.118927001953125,53.88675308227539,40.706687927246094
AL011918,60.753204345703125,40.6691780090332,41.23200607299805,54.087669372558594
AL011919,66.53009796142578,60.35056686401367,54.393157958984375,52.84335708618164
AL011920,71.83747863769531,58.11652755737305,56.50019073486328,66.6746826171875
AL011921,74.29491424560547,66.27873229980469,55.374298095703125,70.3157730102539
AL011922,62.640052795410156,76.77007293701172,54.46862030029297,64.45448303222656
AL011923,75.10354614257812,71.19113159179688,74.42213439941406,65.7315902709961
AL011924,77.30844116210938,58.32170104980469,44.82680892944336,46.32016372680664
AL011925,63.924530029296875,42.83322525024414,51.83240509033203,58.41397476196289
AL011926,63.343833923339844,47.91650390625,50.91180419921875,47.54606246948242
AL011927,58.919185638427734,59.817440032958984,50.92804718017578,51.51716995239258
AL011928,42.41764831542969,38.821529388427734,38.75639724731445,54.180572509765625
AL011929,75.71092987060547,80.46422576904297,76.29510498046875,45.18883514404297
AL011930,45.966522216796875,31.288850784301758,31.887916564941406,19.936330795288086
AL011931,80.97948455810547,65.39562225341797,73.04816436767578,37.919219970703125
AL011932,64.16292572021484,54.41286849975586,66.28231811523438,51.362159729003906
AL011933,78.92193603515625,64.52594757080078,68.4471435546875,32.01091384887695
AL011934,74.0043716430664,62.5814208984375,56.201759338378906,58.61312484741211
AL011935,85.47308349609375,45.439056396484375,38.48061752319336,51.932464599609375
AL011936,77.16602325439453,69.76821899414062,62.1485595703125,54.70531463623047
AL011937,42.987056732177734,48.64155578613281,53.16521072387695,50.67485046386719
AL011938,51.30708694458008,57.29754638671875,50.2712287902832,34.73493957519531
AL011939,80.07756805419922,64.61744689941406,56.60542297363281,67.36868286132812
AL011940,57.90615463256836,55.68904113769531,62.715091705322266,44.21104049682617
AL011941,73.5435562133789,42.738887786865234,61.22920608520508,48.95201873779297
AL011942,80.79357147216797,78.04438781738281,60.2999267578125,55.21529769897461
AL011943,59.95179748535156,63.6020622253418,51.819190979003906,78.870361328125
AL011944,81.89069366455078,40.7589225769043,33.95037841796875,57.39810562133789
AL011945,79.30096435546875,71.36663055419922,52.38404846191406,43.61795425415039
AL011946,71.25634765625,39.605953216552734,16.900625228881836,25.356592178344727
AL011947,80.66090393066406,66.42630004882812,43.930641174316406,70.56725311279297
AL011948,89.25901794433594,64.80441284179688,63.119258880615234,56.24835205078125
AL011949,56.754981994628906,45.9741325378418,43.45735168457031,40.43286895751953
AL011950,65.68252563476562,31.349075317382812,21.597265243530273,38.027008056640625
AL011951,51.65230941772461,41.91490936279297,15.247981071472168,49.95986557006836
AL011952,51.92021942138672,28.510414123535156,19.742538452148438,17.146461486816406
AL011953,87.13086700439453,72.36778259277344,82.33468627929688,61.680721282958984
AL011954,87.2529067993164,23.15481185913086,8.674189567565918,30.863256454467773
AL011955,74.63773345947266,58.26936340332031,53.57002258300781,47.76457977294922
AL011956,89.76748657226562,43.97368621826172,73.23799133300781,68.4771499633789
AL011957,56.83388137817383,34.03371810913086,50.520896911621094,38.7822151184082
AL011958,81.09264373779297,39.28728103637695,51.83320617675781,34.04297637939453
AL011959,56.70563888549805,40.77599334716797,56.64936828613281,43.0925407409668
AL011960,76.22530364990234,68.60092163085938,62.465362548828125,40.85063934326172
AL011961,58.03329086303711,45.73275375366211,60.682281494140625,43.26445007324219
AL011962,77.75349426269531,57.35142517089844,69.57159423828125,68.255615234375
AL011963,72.76406860351562,57.00733184814453,50.33270263671875,52.48531723022461
AL011964,83.57994842529297,54.45817184448242,59.80899429321289,77.42268371582031
AL011965,54.1322135925293,68.40863800048828,20.4210262298584,32.13362503051758
AL011966,90.4532699584961,89.8391342163086,76.35942077636719,59.23863220214844
AL011967,83.52588653564453,80.47854614257812,81.04656982421875,60.00990676879883
AL011968,84.4235610961914,70.4590072631836,65.59523010253906,49.50754165649414
AL011970,83.73088073730469,57.80921173095703,56.85171127319336,71.35823059082031
AL011971,59.33901596069336,27.626583099365234,47.669677734375,53.37515640258789
AL011972,72.08934020996094,41.00994873046875,76.92053985595703,76.27186584472656
AL011973,69.55389404296875,48.930702209472656,25.532773971557617,24.300466537475586
AL011974,90.40472412109375,90.75721740722656,85.35176086425781,35.38380432128906
AL011975,31.378719329833984,55.4993782043457,77.104248046875,69.37232971191406
AL011976,68.78536987304688,36.194183349609375,69.82081604003906,27.881139755249023
AL011977,84.87124633789062,35.47430419921875,47.269981384277344,22.84566879272461
AL011978,63.04743194580078,46.46275329589844,12.258597373962402,16.97662925720215
AL011979,85.25,55.5,68.00999450683594,51.5
AL011980,19.75,48.25,42.5,17.25
AL011981,86.49000549316406,5.739990234375,3.0,5.739990234375
AL011982,76.5,34.0,51.75,32.75
AL011983,46.0,36.25,15.5,37.25
AL011984,27.739990234375,4.239990234375,20.25,23.989990234375
AL011985,44.5,54.75,27.989990234375,61.5
AL011986,88.74000549316406,92.74000549316406,20.25,62.75
AL011987,42.75,68.75999450683594,56.25,28.239990234375
AL011988,22.0,59.0,45.25,27.239990234375
AL011989,67.75999450683594,56.5,26.75,30.739990234375
AL011990,51.5,54.25,15.5,43.5
AL011991,55.0,75.00999450683594,41.25,16.25
AL011992,71.49000549316406,30.239990234375,30.010009765625,4.75
AL011993,72.75999450683594,75.75,21.25,34.0
AL011994,67.24000549316406,44.0,51.25,32.75
AL011995,69.24000549316406,86.25,30.760009765625,65.24000549316406
AL011996,61.75,37.75,76.75,12.75
AL011997,58.5,56.5,31.239990234375,90.49000549316406
AL011998,48.0,49.25,44.25,52.5
AL011999,65.49000549316406,27.5,14.75,13.5
AL012000,61.0,47.25,50.25,24.0
AL012001,63.25,27.75,29.75,60.75
AL012002,83.25,79.49000549316406,9.75,19.75
AL012003,44.75,56.5,61.25,6.25
AL012004,35.25,34.5,30.5,72.75
AL012005,86.5,56.5,30.0,50.75
AL012006,92.5,40.5,44.0,55.25
AL012007,68.75,21.75,29.5,14.75
AL012008,92.75,17.75,81.5,24.25
AL012009,68.49000549316406,16.75,31.739990234375,56.5
AL012010,37.0,26.75,35.75,53.75
AL012011,86.24000549316406,33.0,88.24000549316406,57.0
AL012012,58.75,56.25,8.5,48.75
AL012013,83.99000549316406,80.99000549316406,43.75,30.989990234375
AL012014,77.75,70.75,51.0,45.75
AL012015,81.75,8.0,72.25,80.25
AL012016,55.25,72.25,15.5,16.75
AL012017,91.75,32.0,11.25,41.25
AL012018,68.25,49.25,45.75,38.5
AL012019,72.0,49.0,6.75,40.75
AL012020,89.0,4.0,11.5,11.5
AL012021,31.5,15.25,16.0,46.5
AL012022,56.75,57.0,73.0,11.25
AL012023,45.0,44.25,21.0,54.0
AL012024,67.5,58.75,22.5,40.25
AL021851,74.06808471679688,78.4905776977539,55.125404357910156,39.92764663696289
AL021852,74.47248077392578,58.951988220214844,46.34808349609375,46.07408142089844
AL021853,57.0797119140625,55.389984130859375,52.2661247253418,42.988861083984375
AL021854,47.74062728881836,47.25071716308594,47.442359924316406,42.207584381103516
AL021855,30.847848892211914,55.4412727355957,49.24729919433594,66.05804443359375
AL021856,59.63813781738281,49.89788055419922,39.28199768066406,40.3029670715332
AL021857,62.27985382080078,50.618709564208984,56.384429931640625,62.7393913269043
AL021858,38.38734817504883,50.54784393310547,49.21820831298828,52.84143829345703
AL021859,42.00703430175781,79.40042114257812,23.04861068725586,76.8587875366211
AL021860,41.10862350463867,41.010902404785156,33.07052993774414,39.280311584472656
AL021861,52.15500259399414,38.195465087890625,41.99109649658203,42.63051223754883
AL021862,48.53858184814453,45.16007995605469,48.52914047241211,36.16360092163086
AL021863,63.333526611328125,41.631805419921875,39.10517120361328,57.145381927490234
AL021864,53.242950439453125,63.76347351074219,56.321136474609375,55.66720199584961
AL021865,71.15669250488281,65.77334594726562,59.4231071472168,55.374244689941406
AL021866,69.6167221069336,47.78772735595703,49.16408920288086,47.69611740112305
AL021867,61.39521026611328,30.980144500732422,33.65184783935547,33.9091682434082
AL021868,68.32389831542969,59.305423736572266,64.30262756347656,64.16043853759766
AL021869,82.37564849853516,51.15234375,59.034732818603516,45.6132926940918
AL021870,88.27706146240234,42.63592529296875,38.199214935302734,48.241661071777344
AL021871,50.65676498413086,39.54679489135742,23.14996910095215,28.394817352294922
AL021872,47.80023956298828,56.613739013671875,56.269805908203125,67.75320434570312
AL021873,74.11558532714844,63.51571273803711,61.41327667236328,59.21261215209961
AL021874,61.86373519897461,25.45537757873535,43.84162521362305,23.4882755279541
AL021875,77.73391723632812,60.97822570800781,62.86233901977539,48.27946090698242
AL021876,67.74559020996094,27.400880813598633,22.55274200439453,56.9563102722168
AL021877,67.36974334716797,45.679405212402344,47.824344635009766,52.965057373046875
AL021878,59.87615966796875,52.81193542480469,48.78112030029297,46.35871124267578
AL021879,52.90042495727539,31.805644989013672,36.547630310058594,50.24116897583008
AL021880,53.27153778076172,37.45734405517578,34.36769485473633,42.95977783203125
AL021881,60.666595458984375,77.08595275878906,64.521240234375,62.04913330078125
AL021882,75.81382751464844,46.083595275878906,51.652366638183594,54.53907012939453
AL021883,79.92608642578125,56.592220306396484,36.72831726074219,35.13380432128906
AL021884,80.55986785888672,53.7890625,58.31010055541992,58.211483001708984
AL021885,60.400726318359375,41.000179290771484,57.522212982177734,21.926513671875
AL021886,87.0791015625,77.34352111816406,86.94392395019531,49.012733459472656
AL021887,82.46287536621094,58.943511962890625,69.38420104980469,36.1995849609375
AL021888,67.11408233642578,51.096519470214844,37.065277099609375,73.23779296875
AL021889,81.07667541503906,52.9731559753418,63.76286315917969,61.94025802612305
AL021890,47.071678161621094,43.31984329223633,37.23012161254883,46.63645553588867
AL021891,70.39767456054688,63.11243438720703,67.44532012939453,64.68331909179688
AL021892,81.26231384277344,31.920528411865234,37.36824417114258,36.589561462402344
AL021893,73.26590728759766,72.55143737792969,69.49751281738281,77.84774780273438
AL021894,74.30650329589844,63.6821174621582,60.842655181884766,49.38707733154297
AL021895,46.70051193237305,49.52539825439453,45.07827377319336,36.065513610839844
AL021896,69.02295684814453,59.17401123046875,53.13662338256836,58.831504821777344
AL021897,63.05329895019531,62.423709869384766,75.92115020751953,57.18122863769531
AL021898,77.42308807373047,48.73177719116211,66.4665756225586,70.9905014038086
AL021899,57.300392150878906,40.748016357421875,44.434268951416016,49.52472686767578
AL021900,64.68231201171875,51.535858154296875,49.337589263916016,57.68904113769531
AL021901,69.076416015625,57.60951614379883,69.45713806152344,48.45580291748047
AL021902,85.62149810791016,77.02518463134766,55.75807189941406,67.58893585205078
AL021903,53.67748260498047,50.36248016357422,48.214942932128906,44.599666595458984
AL021904,51.198333740234375,50.753936767578125,49.18015670776367,25.70938491821289
AL021905,41.93572235107422,26.788860321044922,50.6877326965332,36.71440887451172
AL021906,34.69715118408203,79.49266052246094,53.30168151855469,43.28140640258789
AL021907,57.6334228515625,59.82687759399414,54.339691162109375,42.05168151855469
AL021908,45.19169616699219,64.91293334960938,38.42409896850586,44.83539962768555
AL021909,48.34489059448242,42.15162658691406,40.42839431762695,44.39198303222656
AL021910,57.23353958129883,54.7281494140625,71.46736907958984,51.10017013549805
AL021911,61.28709030151367,70.95408630371094,61.50653839111328,36.41571044921875
AL021912,68.97724914550781,52.40777587890625,53.165950775146484,36.19689178466797
AL021913,66.69987487792969,35.43446350097656,38.5803337097168,61.44099426269531
AL021915,69.4423828125,60.3365592956543,54.06538391113281,66.19113159179688
AL021916,63.30236053466797,68.3203353881836,66.92649841308594,66.51103210449219
AL021917,61.02783966064453,45.66950988769531,57.56496810913086,48.44102096557617
AL021918,75.85993194580078,54.999637603759766,58.421512603759766,54.147525787353516
AL021919,39.631473541259766,39.68303298950195,36.713478088378906,34.82950210571289
AL021920,73.26690673828125,60.95309066772461,57.838836669921875,59.37845993041992
AL021921,63.487892150878906,56.977989196777344,58.48149108886719,49.5283317565918
AL021922,73.30661010742188,68.5060043334961,60.97936248779297,45.207794189453125
AL021923,53.62214660644531,50.14579772949219,33.56547164916992,35.19408416748047
AL021924,75.02949523925781,62.03636169433594,59.3805046081543,64.07695007324219
AL021925,70.49417114257812,57.7415771484375,52.07371139526367,63.50248718261719
AL021926,56.67474365234375,42.76546859741211,47.62811279296875,38.99707794189453
AL021927,69.35716247558594,58.130149841308594,63.664398193359375,65.21210479736328
AL021928,48.66340255737305,48.59178161621094,70.79340362548828,56.021724700927734
AL021929,59.12138366699219,50.417232513427734,44.314414978027344,56.18570327758789
AL021930,47.38840103149414,54.31412887573242,51.87495040893555,50.32834243774414
AL021931,72.18994903564453,68.33070373535156,65.8914794921875,70.42688751220703
AL021932,68.48690032958984,51.95858383178711,38.359493255615234,48.47193908691406
AL021933,67.91304779052734,54.40017318725586,57.69261932373047,45.9557991027832
AL021934,64.83918762207031,40.419525146484375,46.670936584472656,54.090110778808594
AL021935,64.95887756347656,65.98548126220703,49.981449127197266,66.22893524169922
AL021936,67.05825805664062,66.35529327392578,49.93845748901367,39.48383712768555
AL021937,60.031925201416016,34.050262451171875,49.6040153503418,38.533111572265625
AL021938,73.12911224365234,42.69419479370117,33.26042556762695,31.419118881225586
AL021939,44.66623306274414,34.926971435546875,43.42935562133789,31.525192260742188
AL021940,72.18065643310547,50.055564880371094,44.19456481933594,47.745277404785156
AL021941,66.55912017822266,53.81166458129883,58.30377197265625,63.7883186340332
AL021942,57.21720886230469,64.916015625,56.91035842895508,75.31139373779297
AL021943,44.47844696044922,38.39909362792969,56.63695526123047,36.93461990356445
AL021944,63.77081298828125,41.518760681152344,35.822147369384766,54.482200622558594
AL021945,72.72178649902344,63.56158447265625,48.75923156738281,58.98371887207031
AL021946,73.4101333618164,85.30682373046875,53.683067321777344,73.18287658691406
AL021947,48.06610870361328,42.278961181640625,55.286033630371094,67.45575714111328
AL021948,53.20075988769531,60.21722412109375,60.13232421875,40.874237060546875
AL021949,74.97758483886719,42.00263595581055,42.3838005065918,34.50975799560547
AL021950,62.61106872558594,61.184505462646484,58.72412872314453,45.68674087524414
AL021951,42.318931579589844,74.84539794921875,8.766690254211426,20.10673713684082
AL021952,72.97943115234375,67.8586654663086,54.123077392578125,52.746368408203125
AL021953,61.40060806274414,57.80500793457031,52.607582092285156,76.19457244873047
AL021954,79.62039184570312,76.84562683105469,27.748470306396484,82.991455078125
