code,sst_minus_0_days,sst_minus_3_days,sst_minus_7_days,sst_minus_14_days
AL011851,300.8227844238281,300.66827392578125,300.6646423339844,300.50775146484375
AL011852,301.46185302734375,301.5116882324219,301.4915771484375,301.323486328125
AL011853,300.38482666015625,300.2780456542969,300.2078552246094,300.1726989746094
AL011854,301.5725402832031,301.76043701171875,301.4085388183594,300.834228515625
AL011855,300.63311767578125,300.9851989746094,300.90789794921875,301.5444641113281
AL011856,302.2519836425781,302.2213439941406,302.08953857421875,301.81976318359375
AL011857,298.90484619140625,298.8458557128906,299.0421447753906,298.888916015625
AL011858,301.1368713378906,301.0887756347656,301.17156982421875,301.4075927734375
AL011859,300.77349853515625,300.86590576171875,300.8323669433594,300.5960998535156
AL011860,302.10833740234375,301.97442626953125,301.7206115722656,301.6260681152344
AL011861,300.9480895996094,300.8250732421875,300.7392272949219,300.7510986328125
AL011862,298.7426452636719,298.8485107421875,298.9697265625,298.5378112792969
AL011863,298.7574462890625,299.1617431640625,299.17950439453125,298.6679382324219
AL011864,299.36224365234375,299.3450927734375,298.67791748046875,297.6842041015625
AL011865,301.5545349121094,301.47540283203125,301.23004150390625,300.8583679199219
AL011866,301.4590148925781,301.89776611328125,301.9368896484375,301.9114074707031
AL011867,300.0283203125,300.17529296875,300.06268310546875,299.603759765625
AL011868,301.3724670410156,301.4301452636719,301.5840148925781,301.6836242675781
AL011869,295.9228820800781,296.12249755859375,296.0464782714844,295.3725280761719
AL011870,296.3125305175781,299.852294921875,302.22412109375,298.8772888183594
AL011871,300.2926940917969,300.1839904785156,300.1413269042969,299.7319641113281
AL011872,302.2503967285156,302.1856994628906,302.0650939941406,301.9760437011719
AL011873,302.0860900878906,302.09429931640625,302.1088562011719,301.711669921875
AL011874,301.68634033203125,301.6939697265625,301.6003112792969,301.4896240234375
AL011875,301.85137939453125,301.810302734375,301.81951904296875,301.7406311035156
AL011876,298.1427001953125,298.3957214355469,298.5201416015625,298.6984558105469
AL011877,302.4007568359375,302.26849365234375,302.10040283203125,301.9638671875
AL011878,302.3362121582031,302.3902893066406,302.1741027832031,301.5625
AL011879,301.60528564453125,301.6289367675781,301.5700988769531,300.68109130859375
AL011880,301.3536682128906,301.4184265136719,301.439453125,301.2516784667969
AL011881,303.629638671875,303.64031982421875,303.39031982421875,303.1409912109375
AL011882,299.2061462402344,299.4776611328125,299.5279541015625,298.91802978515625
AL011883,300.78338623046875,300.55670166015625,300.275390625,300.2572021484375
AL011884,299.608642578125,299.70220947265625,299.869140625,299.6858825683594
AL011885,301.25567626953125,301.3563232421875,301.2393493652344,301.0176086425781
AL011886,300.96539306640625,300.8800048828125,300.6217041015625,299.64349365234375
AL011887,295.5565185546875,295.54730224609375,295.70135498046875,295.6727294921875
AL011888,301.1004638671875,301.2010192871094,301.34857177734375,301.1248779296875
AL011889,299.20501708984375,299.2061462402344,299.2577819824219,299.3580627441406
AL011890,301.301025390625,301.17144775390625,300.9298400878906,300.6500244140625
AL011891,301.89013671875,301.8362121582031,301.80718994140625,301.7645263671875
AL011892,301.21380615234375,301.0331115722656,300.76177978515625,300.5283508300781
AL011893,302.1416015625,302.1690673828125,301.9199523925781,301.230224609375
AL011894,301.0735168457031,301.09295654296875,301.3216552734375,301.5193176269531
AL011895,302.7481384277344,302.7062072753906,302.5899353027344,302.6824951171875
AL011896,302.44378662109375,302.2596130371094,302.0575866699219,302.1640930175781
AL011897,300.915283203125,300.9237976074219,300.87384033203125,300.8539733886719
AL011898,302.7060241699219,302.7808837890625,302.739501953125,302.274658203125
AL011899,301.4593505859375,301.14581298828125,301.0956726074219,300.8955993652344
