code,vws_minus_0_days,vws_minus_3_days,vws_minus_7_days,vws_minus_14_days
AL011851,9.729565004719115,21.04524393287644,18.07396737837845,17.749612835817363
AL011852,7.3864902442085505,6.904295744216584,10.02310323134817,13.101295478942589
AL011853,10.54755773122766,5.775829925169055,7.587142660584931,6.447094851697276
AL011854,19.812633703348947,17.166404935674297,21.029162561475818,16.54170659136012
AL011855,2.935428231817496,3.44004281361394,0.6905765145868735,2.6759609998726415
AL011856,24.851715137095724,3.9310138079561976,8.03679502626633,6.57714443582559
AL011857,7.853545095553272,9.618434205317534,21.12451092103856,5.037060097222076
AL011858,7.179677734545027,16.543588197753838,13.359711538703031,13.922385063572865
AL011859,3.486637405014849,13.534271886528384,15.771248021967489,14.185748280466948
AL011860,10.998950375957333,16.441953064196603,16.17220746737441,8.066474481803876
AL011861,18.750286189110504,19.06266363466006,16.912337694219048,11.129519253110091
AL011862,16.92641275948871,34.05016031230495,30.75387104398451,7.8202899136958965
AL011863,13.71840914814194,3.033008495253612,10.843137492009179,4.445978248407428
AL011864,12.751516763798513,8.07816933318127,5.067868749849298,5.884705773647882
AL011865,2.9286690394802055,3.3843049087347437,3.9270478436123977,13.517802035076988
AL011866,16.63927319345857,9.977673177320305,7.84948738234877,9.905111824393604
AL011867,18.304324914879643,18.914428674206153,25.76619647878383,18.60218489357038
AL011868,18.82449122576817,15.194963123281937,9.28778431322835,5.246715224000536
AL011869,6.884467352169312,12.276972628404351,9.53039101715706,14.912957860489314
AL011870,20.211268127769355,14.097704411928573,6.905863265019452,10.572434262385855
AL011871,23.93585891557341,18.868184761095655,25.854338070744976,27.193011539798682
AL011872,3.065063018623436,6.005167792769936,7.24825393434716,10.37159252082235
AL011873,8.973493544023764,11.442939177375173,8.485497755857198,21.16938676546045
AL011874,18.08719589743405,12.341921243081568,16.671392345376024,11.99420323336744
AL011875,8.539916620335962,14.517899277361991,7.499177657349304,4.081034250147398
AL011876,16.864027437903104,28.050000568672527,21.0245198295981,20.580220099369544
AL011877,8.789652144391614,10.780617722854545,9.887307139614647,10.309195678842343
