code,size_34kt_sqkm,size_50kt_sqkm,size_64kt_sqkm,size_max_sqkm
AL011851,,,,
AL011852,,,,1077.5361208918246
AL011853,,,,
AL011854,,,,
AL011855,,,,
AL011856,,,,1077.5361208918246
AL011857,,,,
AL011858,,,,
AL011859,,,,
AL011860,,,,
AL011861,,,,
AL011862,,,,
AL011863,,,,
AL011864,,,,
AL011865,,,,
AL011866,,,,
AL011867,,,,
AL011868,,,,
AL011869,,,,
AL011870,,,,
AL011871,,,,
AL011872,,,,
AL011873,,,,
AL011874,,,,
AL011875,,,,
AL011876,,,,
AL011877,,,,
AL011878,,,,
AL011879,,,,
AL011880,,,,
AL011881,,,,
AL011882,,,,
AL011883,,,,
AL011884,,,,
AL011885,,,,
AL011886,,,,
AL011887,,,,
AL011888,,,,
AL011889,,,,
AL011890,,,,
AL011891,,,,
AL011892,,,,
AL011893,,,,
AL011894,,,,
AL011895,,,,
AL011896,,,,
AL011897,,,,
AL011898,,,,
AL011899,,,,
AL011900,,,,2424.4562720066056
AL011901,,,,
AL011902,,,,
AL011903,,,,
AL011904,,,,
AL011905,,,,
AL011906,,,,
AL011907,,,,
AL011908,,,,
AL011909,,,,
AL011910,,,,
AL011911,,,,
AL011912,,,,
AL011913,,,,
AL011914,,,,
AL011915,,,,2424.4562720066056
AL011916,,,,
AL011917,,,,
AL011918,,,,1077.5361208918246
AL011919,,,,
AL011920,,,,
AL011921,,,,2424.4562720066056
AL011922,,,,
AL011923,,,,
AL011924,,,,
AL011925,,,,
AL011926,,,,2424.4562720066056
AL011927,,,,
AL011928,,,,1077.5361208918246
AL011929,,,,1077.5361208918246
AL011930,,,,
AL011931,,,,
AL011932,,,,
AL011933,,,,
AL011934,,,,9697.825088026422
AL011935,,,,
AL011936,,,,
AL011937,,,,
AL011938,,,,
AL011939,,,,
AL011940,,,,
AL011941,,,,
AL011942,,,,
AL011943,,,,2424.4562720066056
AL011944,,,,
AL011945,,,,
AL011946,,,,
AL011947,,,,
AL011948,,,,
AL011949,,,,6734.600755573905
AL011950,,,,
AL011951,,,,
AL011952,,,,
AL011953,,,,
AL011954,,,,
AL011955,,,,
AL011956,,,,
AL011957,,,,
AL011958,,,,
AL011959,,,,
AL011960,,,,
AL011961,,,,
AL011962,,,,
AL011963,,,,
AL011964,,,,
AL011965,,,,
AL011966,,,,9697.825088026422
AL011967,,,,
AL011968,,,,
AL011970,,,,
AL011971,,,,
AL011972,,,,
AL011973,,,,
AL011974,,,,
AL011975,,,,
AL011976,,,,
