code,sst_minus_0_days,sst_minus_3_days,sst_minus_7_days,sst_minus_14_days
AL011851,27.49300193786621,27.49300193786621,27.49300193786621,27.49300193786621
AL021851,28.43800163269043,28.43800163269043,27.738000869750977,27.738000869750977
AL031851,27.893001556396484,27.893001556396484,27.893001556396484,27.575000762939453
AL041851,27.19500160217285,27.19500160217285,27.19500160217285,27.19500160217285
AL051851,26.83500099182129,26.83500099182129,26.83500099182129,27.3700008392334
AL061851,26.825000762939453,26.825000762939453,26.825000762939453,26.825000762939453
AL011852,28.40300178527832,28.40300178527832,28.40300178527832,28.40300178527832
AL021852,28.525001525878906,28.525001525878906,28.36800193786621,28.36800193786621
AL031852,28.525001525878906,28.525001525878906,28.525001525878906,29.31800079345703
AL041852,28.23000144958496,28.23000144958496,28.23000144958496,28.23000144958496
AL051852,28.82000160217285,28.82000160217285,28.705001831054688,28.705001831054688
AL011853,27.875001907348633,27.875001907348633,27.305002212524414,27.305002212524414
AL021853,28.093000411987305,28.093000411987305,28.093000411987305,27.680002212524414
AL031853,26.740001678466797,26.740001678466797,26.740001678466797,26.740001678466797
AL041853,25.505001068115234,25.505001068115234,25.505001068115234,26.42500114440918
AL051853,28.900001525878906,28.900001525878906,28.900001525878906,28.900001525878906
AL061853,28.05000114440918,28.05000114440918,28.05000114440918,28.05000114440918
AL071853,26.288002014160156,26.288002014160156,26.288002014160156,26.288002014160156
AL081853,27.59800148010254,27.59800148010254,27.59800148010254,27.59800148010254
AL011854,27.678001403808594,27.678001403808594,27.678001403808594,27.678001403808594
AL021854,26.89000129699707,26.89000129699707,26.89000129699707,26.89000129699707
AL031854,28.803001403808594,28.803001403808594,29.10500144958496,29.10500144958496
AL041854,28.908000946044922,28.908000946044922,28.908000946044922,28.908000946044922
AL051854,27.455001831054688,27.455001831054688,27.455001831054688,27.455001831054688
AL011855,29.268001556396484,29.268001556396484,28.735000610351562,28.735000610351562
AL021855,20.158000946044922,20.158000946044922,20.158000946044922,19.328001022338867
AL031855,28.065000534057617,28.065000534057617,28.065000534057617,27.785001754760742
AL041855,27.823001861572266,27.823001861572266,27.823001861572266,27.823001861572266
AL051855,29.270000457763672,29.270000457763672,29.270000457763672,29.270000457763672
AL011856,29.865001678466797,29.865001678466797,29.865001678466797,29.678001403808594
AL021856,27.698001861572266,27.698001861572266,27.698001861572266,27.298002243041992
AL031856,28.285001754760742,28.285001754760742,28.285001754760742,28.285001754760742
AL041856,29.80000114440918,29.80000114440918,29.80000114440918,29.80000114440918
AL051856,28.2450008392334,28.2450008392334,28.2450008392334,28.2450008392334
AL061856,26.485000610351562,26.485000610351562,26.485000610351562,26.485000610351562
AL011857,25.290000915527344,25.290000915527344,25.290000915527344,25.290000915527344
AL021857,28.623001098632812,28.623001098632812,28.823001861572266,28.823001861572266
AL031857,27.253002166748047,27.253002166748047,27.253002166748047,27.253002166748047
AL041857,27.630001068115234,27.630001068115234,27.630001068115234,27.630001068115234
AL011858,28.078001022338867,28.078001022338867,28.078001022338867,27.718000411987305
AL021858,18.57000160217285,18.57000160217285,17.475000381469727,17.475000381469727
AL031858,29.06800079345703,29.06800079345703,29.06800079345703,29.953001022338867
AL041858,26.59800148010254,26.59800148010254,26.59800148010254,26.59800148010254
AL051858,28.753002166748047,28.753002166748047,28.753002166748047,28.753002166748047
AL061858,28.750001907348633,28.750001907348633,28.750001907348633,28.750001907348633
AL011859,28.400001525878906,27.815000534057617,27.815000534057617,27.815000534057617
AL021859,25.88500213623047,25.88500213623047,25.88500213623047,25.88500213623047
AL031859,28.01500129699707,28.018001556396484,28.018001556396484,28.018001556396484
AL041859,25.755001068115234,25.755001068115234,25.755001068115234,26.310001373291016
AL051859,28.543001174926758,28.543001174926758,28.543001174926758,28.543001174926758
AL061859,28.6200008392334,28.650001525878906,28.650001525878906,28.650001525878906
AL071859,27.838001251220703,27.838001251220703,27.838001251220703,27.838001251220703
AL081859,27.963001251220703,27.963001251220703,27.963001251220703,27.963001251220703
AL011860,29.448001861572266,29.448001861572266,29.448001861572266,29.163002014160156
AL021860,28.518001556396484,28.518001556396484,28.518001556396484,28.518001556396484
AL041860,28.86800193786621,28.86800193786621,28.86800193786621,29.330001831054688
AL031860,23.128000259399414,23.128000259399414,23.128000259399414,24.18800163269043
AL051860,28.308000564575195,28.308000564575195,28.308000564575195,28.308000564575195
AL061860,28.68800163269043,28.68800163269043,28.68800163269043,28.68800163269043
AL071860,28.080001831054688,28.080001831054688,28.080001831054688,28.080001831054688
AL011861,27.77800178527832,27.77800178527832,27.308000564575195,27.308000564575195
AL021861,28.44300079345703,28.44300079345703,28.44300079345703,28.01300048828125
AL031861,26.845001220703125,26.845001220703125,26.845001220703125,26.845001220703125
AL041861,26.985000610351562,26.985000610351562,26.985000610351562,26.985000610351562
AL051861,28.343000411987305,28.343000411987305,28.343000411987305,28.343000411987305
AL061861,26.983001708984375,26.983001708984375,26.875001907348633,26.875001907348633
AL071861,23.8700008392334,23.8700008392334,25.69500160217285,25.69500160217285
AL081861,25.793001174926758,28.025001525878906,28.025001525878906,28.025001525878906
AL011862,26.00800132751465,26.00800132751465,26.00800132751465,26.00800132751465
AL021862,27.81300163269043,27.81300163269043,27.81300163269043,27.81300163269043
AL031862,27.488000869750977,27.488000869750977,27.488000869750977,27.218000411987305
AL041862,28.38800048828125,28.38800048828125,28.490001678466797,28.490001678466797
AL051862,24.893001556396484,24.893001556396484,24.893001556396484,26.34800148010254
AL061862,27.913002014160156,27.913002014160156,27.913002014160156,27.913002014160156
AL011863,25.685001373291016,25.685001373291016,25.685001373291016,24.178001403808594
AL021863,25.48000144958496,25.48000144958496,25.48000144958496,25.48000144958496
AL031863,28.26300048828125,28.26300048828125,28.26300048828125,28.26300048828125
AL041863,28.170001983642578,28.170001983642578,28.170001983642578,28.170001983642578
AL051863,28.02800178527832,28.02800178527832,28.02800178527832,27.375001907348633
AL061863,28.810001373291016,28.810001373291016,28.810001373291016,28.810001373291016
AL071863,28.80000114440918,28.80000114440918,28.80000114440918,28.80000114440918
AL081863,26.99300193786621,26.99300193786621,26.99300193786621,26.99300193786621
AL091863,28.22500228881836,28.22500228881836,28.22500228881836,28.22500228881836
AL011864,27.555002212524414,27.555002212524414,27.555002212524414,27.555002212524414
AL021864,29.00800132751465,29.00800132751465,29.00800132751465,29.00800132751465
AL031864,27.573001861572266,27.573001861572266,27.573001861572266,27.573001861572266
AL041864,26.60500144958496,26.60500144958496,27.110000610351562,27.110000610351562
AL051864,26.363000869750977,26.363000869750977,26.363000869750977,26.363000869750977
AL011865,27.288002014160156,27.288002014160156,27.288002014160156,27.288002014160156
AL021865,,,,
AL031865,28.953001022338867,28.953001022338867,28.953001022338867,28.953001022338867
AL041865,28.23000144958496,28.23000144958496,27.793001174926758,27.793001174926758
AL051865,28.648000717163086,28.648000717163086,29.988000869750977,29.988000869750977
AL061865,28.518001556396484,28.518001556396484,28.518001556396484,28.518001556396484
AL071865,28.47300148010254,28.47300148010254,28.47300148010254,28.47300148010254
AL011866,29.10300064086914,29.10300064086914,29.10300064086914,27.803001403808594
AL021866,28.555002212524414,28.555002212524414,28.555002212524414,28.173002243041992
AL031866,26.58500099182129,26.58500099182129,26.685001373291016,26.685001373291016
AL041866,26.415000915527344,26.415000915527344,26.415000915527344,26.415000915527344
AL051866,22.97800064086914,22.97800064086914,22.97800064086914,22.97800064086914
AL061866,26.975000381469727,26.975000381469727,26.975000381469727,26.975000381469727
AL071866,26.94300079345703,26.94300079345703,26.94300079345703,26.94300079345703
AL011867,26.82000160217285,26.82000160217285,26.82000160217285,26.82000160217285
AL021867,27.573001861572266,27.573001861572266,27.573001861572266,27.573001861572266
AL031867,27.988000869750977,27.775001525878906,27.775001525878906,27.775001525878906
AL041867,27.77800178527832,27.77800178527832,27.77800178527832,27.77800178527832
AL051867,27.86800193786621,27.86800193786621,27.86800193786621,28.075000762939453
AL061867,27.628002166748047,27.628002166748047,27.628002166748047,27.628002166748047
AL071867,27.350000381469727,29.02800178527832,29.02800178527832,29.02800178527832
AL081867,28.10500144958496,28.10500144958496,28.10500144958496,28.10500144958496
AL091867,27.2450008392334,27.2450008392334,27.2450008392334,27.2450008392334
AL011868,27.77800178527832,27.940000534057617,27.940000534057617,27.940000534057617
AL021868,27.533000946044922,28.98000144958496,28.98000144958496,28.98000144958496
AL031868,28.44500160217285,28.44500160217285,28.753002166748047,28.753002166748047
AL041868,27.553001403808594,27.553001403808594,27.553001403808594,27.553001403808594
AL011869,23.875001907348633,23.875001907348633,23.875001907348633,22.093000411987305
AL021869,29.4950008392334,29.4950008392334,29.4950008392334,29.4950008392334
AL031869,26.748001098632812,26.748001098632812,26.748001098632812,26.748001098632812
AL041869,28.078001022338867,28.560001373291016,28.560001373291016,28.560001373291016
AL051869,28.660001754760742,28.660001754760742,29.32000160217285,29.32000160217285
AL061869,28.47300148010254,28.47300148010254,28.96000099182129,28.96000099182129
AL071869,27.57000160217285,27.57000160217285,27.57000160217285,27.24300193786621
AL081869,26.753002166748047,26.753002166748047,26.753002166748047,26.323001861572266
AL091869,28.573001861572266,28.4950008392334,28.4950008392334,28.4950008392334
AL101869,26.183000564575195,26.183000564575195,27.670001983642578,27.670001983642578
AL011870,,,,
AL021870,27.650001525878906,27.650001525878906,27.650001525878906,27.650001525878906
AL031870,26.613000869750977,25.76000213623047,25.76000213623047,25.76000213623047
AL041870,27.983001708984375,27.983001708984375,27.983001708984375,28.043001174926758
AL051870,26.67500114440918,26.67500114440918,26.67500114440918,26.67500114440918
AL061870,28.670001983642578,28.670001983642578,28.85500144958496,28.85500144958496
AL071870,27.323001861572266,27.323001861572266,27.423002243041992,27.423002243041992
AL081870,23.6200008392334,23.6200008392334,23.6200008392334,25.65300178527832
AL091870,28.590002059936523,28.590002059936523,28.590002059936523,28.590002059936523
AL101870,28.288002014160156,28.288002014160156,28.288002014160156,28.288002014160156
AL111870,28.578001022338867,28.578001022338867,28.578001022338867,28.578001022338867
AL011871,28.33500099182129,26.74300193786621,26.74300193786621,26.74300193786621
AL021871,28.075000762939453,28.075000762939453,28.075000762939453,26.47300148010254
AL031871,28.715002059936523,28.715002059936523,28.715002059936523,28.22300148010254
AL041871,27.043001174926758,27.043001174926758,27.043001174926758,27.043001174926758
AL051871,28.48000144958496,28.48000144958496,28.48000144958496,28.48000144958496
AL061871,29.10000228881836,29.10000228881836,29.488000869750977,29.488000869750977
AL071871,28.643001556396484,28.643001556396484,28.643001556396484,28.643001556396484
AL081871,27.52800178527832,27.52800178527832,27.52800178527832,27.860000610351562
AL011872,29.180002212524414,29.180002212524414,29.180002212524414,28.088001251220703
AL021872,26.26000213623047,26.26000213623047,26.26000213623047,26.26000213623047
AL031872,28.56800079345703,28.56800079345703,28.56800079345703,28.280000686645508
AL041872,27.13500213623047,27.13500213623047,27.13500213623047,27.13500213623047
AL051872,27.58500099182129,27.58500099182129,27.58500099182129,27.58500099182129
AL011873,27.595001220703125,26.155000686645508,26.155000686645508,26.155000686645508
AL021873,26.343000411987305,26.343000411987305,26.343000411987305,25.24300193786621
AL031873,28.795001983642578,28.795001983642578,28.795001983642578,28.795001983642578
AL041873,28.815000534057617,28.815000534057617,28.815000534057617,28.815000534057617
AL051873,28.64000129699707,28.64000129699707,28.64000129699707,28.64000129699707
