code,vws_minus_0_days,vws_minus_3_days,vws_minus_7_days,vws_minus_14_days
AL011851,35.90814263448556,35.90814263448556,35.90814263448556,35.90814263448556
AL021851,29.998210146599252,29.998210146599252,29.998210146599252,29.998210146599252
AL031851,38.835398926312365,38.835398926312365,38.835398926312365,38.835398926312365
AL041851,39.611651156864006,39.611651156864006,39.611651156864006,39.611651156864006
AL051851,39.99749016524828,39.99749016524828,39.99749016524828,39.99749016524828
AL061851,22.50641199733214,22.50641199733214,22.50641199733214,22.50641199733214
AL011852,24.437608631472166,24.437608631472166,24.437608631472166,24.437608631472166
AL021852,24.509884130051738,24.509884130051738,24.509884130051738,24.509884130051738
AL031852,27.132777807577448,27.132777807577448,27.132777807577448,27.132777807577448
AL041852,42.05284497809822,42.05284497809822,42.05284497809822,42.05284497809822
AL051852,14.889488883075884,14.889488883075884,14.889488883075884,14.889488883075884
AL011853,43.0368541509494,43.0368541509494,43.0368541509494,43.0368541509494
AL021853,38.835398926312365,38.835398926312365,38.835398926312365,38.835398926312365
AL031853,32.069917072014256,32.069917072014256,32.069917072014256,32.069917072014256
AL041853,14.563764984125955,14.563764984125955,14.563764984125955,14.563764984125955
AL051853,23.279191106790147,23.279191106790147,23.279191106790147,23.279191106790147
AL061853,33.489905235724244,33.489905235724244,33.489905235724244,33.489905235724244
AL071853,36.923174741726065,36.923174741726065,36.923174741726065,36.923174741726065
AL081853,22.50641199733214,22.50641199733214,22.50641199733214,22.50641199733214
AL011854,27.376699924701374,27.376699924701374,27.376699924701374,27.376699924701374
AL021854,15.688257305551053,15.688257305551053,15.688257305551053,15.688257305551053
AL031854,22.50641199733214,22.50641199733214,22.50641199733214,22.50641199733214
AL041854,31.164234891374562,31.164234891374562,31.164234891374562,31.164234891374562
AL051854,40.864583070477366,40.864583070477366,40.864583070477366,40.864583070477366
AL011855,29.998210146599252,29.998210146599252,29.998210146599252,29.998210146599252
AL021855,10.016982619327427,10.016982619327427,10.016982619327427,10.016982619327427
AL031855,26.356770986892393,26.356770986892393,26.356770986892393,26.356770986892393
AL041855,42.14417876277745,42.14417876277745,42.14417876277745,42.14417876277745
AL051855,27.132777807577448,27.132777807577448,27.132777807577448,27.132777807577448
AL011856,13.064056014348983,13.064056014348983,13.064056014348983,13.064056014348983
AL021856,42.14417876277745,42.14417876277745,42.14417876277745,42.14417876277745
AL031856,36.901617454249575,36.901617454249575,36.901617454249575,36.901617454249575
AL041856,9.085746398734067,9.085746398734067,9.085746398734067,9.085746398734067
AL051856,21.51787955320759,21.51787955320759,21.51787955320759,21.51787955320759
AL061856,20.474479021427342,20.474479021427342,20.474479021427342,20.474479021427342
AL011857,38.83825387929013,38.83825387929013,38.83825387929013,38.83825387929013
AL021857,33.269348872895335,33.269348872895335,33.269348872895335,33.269348872895335
AL031857,39.99749016524828,39.99749016524828,39.99749016524828,39.99749016524828
